mockservice
edp INFO EDP WebServer start, http://192.168.1.103:8830
edp INFO root = [/Users/cgzero/百度云同步盘/htdocs/baidu/imgUploader], listen = [8830] 
edp INFO GET /example/ 200 - - 9.842 ms
edp INFO GET /src/uploader.less 200 - - 127.515 ms
edp INFO GET /example/jquery.js 200 - - 130.609 ms
edp INFO GET /src/main.js 200 - - 2.462 ms
edp INFO GET /src/lib.js 200 - - 3.212 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 11.318 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 0.970 ms
edp INFO GET /example/ 200 - - 1.762 ms
edp INFO GET /src/uploader.less 200 - - 29.924 ms
edp INFO GET /example/jquery.js 200 - - 34.680 ms
edp INFO GET /src/main.js 200 - - 2.632 ms
edp INFO GET /src/lib.js 200 - - 1.758 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 9.514 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.575 ms
edp INFO GET /example/ 200 - - 1.702 ms
edp INFO GET /src/uploader.less 200 - - 28.318 ms
edp INFO GET /example/jquery.js 200 - - 33.402 ms
edp INFO GET /src/main.js 200 - - 2.444 ms
edp INFO GET /src/lib.js 200 - - 1.469 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 11.831 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 0.709 ms
edp INFO GET /example/ 200 - - 0.938 ms
edp INFO GET /src/uploader.less 200 - - 17.196 ms
edp INFO GET /example/jquery.js 200 - - 21.615 ms
edp INFO GET /src/main.js 200 - - 3.171 ms
edp INFO GET /src/lib.js 200 - - 1.892 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 11.539 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.254 ms
edp INFO GET /example/ 200 - - 1.405 ms
edp INFO GET /src/uploader.less 200 - - 36.236 ms
edp INFO GET /example/jquery.js 200 - - 40.871 ms
edp INFO GET /src/main.js 200 - - 1.854 ms
edp INFO GET /src/lib.js 200 - - 1.787 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 10.084 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.628 ms
edp INFO GET /example/ 200 - - 1.117 ms
edp INFO GET /src/uploader.less 200 - - 15.243 ms
edp INFO GET /example/jquery.js 200 - - 19.899 ms
edp INFO GET /src/main.js 200 - - 6.533 ms
edp INFO GET /src/lib.js 200 - - 5.278 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 13.935 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.162 ms
edp INFO GET /example/ 200 - - 0.779 ms
edp INFO GET /src/uploader.less 200 - - 12.159 ms
edp INFO GET /example/jquery.js 200 - - 14.853 ms
edp INFO GET /src/main.js 200 - - 2.036 ms
edp INFO GET /src/lib.js 200 - - 1.853 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 12.219 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.932 ms
edp INFO GET /example/ 200 - - 0.969 ms
edp INFO GET /src/uploader.less 200 - - 16.930 ms
edp INFO GET /example/jquery.js 200 - - 21.584 ms
edp INFO GET /src/main.js 200 - - 2.033 ms
edp INFO GET /src/lib.js 200 - - 1.923 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 13.461 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.199 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 628.617 ms
edp INFO GET /example/ 200 - - 1.131 ms
edp INFO GET /src/uploader.less 200 - - 23.369 ms
edp INFO GET /example/jquery.js 200 - - 25.694 ms
edp INFO GET /src/main.js 200 - - 2.259 ms
